 Variables = "X", "Y", "Z"
Zone i=   31 j=   41 f=point
 0.46996E+00   0.19915E-01  -0.38348E-02
 0.47174E+00   0.20300E-01  -0.35099E-02
 0.47363E+00   0.20439E-01  -0.31767E-02
 0.47561E+00   0.20442E-01  -0.28471E-02
 0.47767E+00   0.20409E-01  -0.25482E-02
 0.47981E+00   0.20363E-01  -0.22638E-02
 0.48205E+00   0.20309E-01  -0.19908E-02
 0.48437E+00   0.20246E-01  -0.17218E-02
 0.48679E+00   0.20176E-01  -0.14541E-02
 0.48931E+00   0.20100E-01  -0.11819E-02
 0.49193E+00   0.20018E-01  -0.89918E-03
 0.49465E+00   0.19930E-01  -0.59687E-03
 0.49737E+00   0.19838E-01  -0.27343E-03
 0.49998E+00   0.19744E-01   0.56103E-04
 0.50249E+00   0.19653E-01   0.37510E-03
 0.50491E+00   0.19563E-01   0.67127E-03
 0.50723E+00   0.19477E-01   0.94769E-03
 0.50947E+00   0.19393E-01   0.12115E-02
 0.51161E+00   0.19312E-01   0.14633E-02
 0.51368E+00   0.19232E-01   0.17059E-02
 0.51567E+00   0.19155E-01   0.19405E-02
 0.51758E+00   0.19081E-01   0.21626E-02
 0.51941E+00   0.19009E-01   0.23762E-02
 0.52118E+00   0.18940E-01   0.25802E-02
 0.52288E+00   0.18872E-01   0.27718E-02
 0.52451E+00   0.18806E-01   0.29544E-02
 0.52609E+00   0.18743E-01   0.31301E-02
 0.46532E+00   0.17872E-01  -0.47146E-02
 0.46592E+00   0.19305E-01  -0.44548E-02
 0.46697E+00   0.20518E-01  -0.41677E-02
 0.46842E+00   0.21359E-01  -0.38618E-02
 0.47006E+00   0.21961E-01  -0.35393E-02
 0.47184E+00   0.22308E-01  -0.32073E-02
 0.47373E+00   0.22424E-01  -0.28818E-02
 0.47570E+00   0.22418E-01  -0.25777E-02
 0.47776E+00   0.22379E-01  -0.23037E-02
 0.47991E+00   0.22328E-01  -0.20389E-02
 0.48214E+00   0.22267E-01  -0.17795E-02
 0.48446E+00   0.22197E-01  -0.15223E-02
 0.48688E+00   0.22119E-01  -0.12608E-02
 0.48939E+00   0.22035E-01  -0.99332E-03
 0.49200E+00   0.21946E-01  -0.71138E-03
 0.49471E+00   0.21848E-01  -0.40530E-03
 0.49743E+00   0.21746E-01  -0.80101E-04
 0.50003E+00   0.21643E-01   0.24873E-03
 0.50254E+00   0.21544E-01   0.55277E-03
 0.50495E+00   0.21447E-01   0.83802E-03
 0.50727E+00   0.21352E-01   0.11080E-02
 0.50950E+00   0.21261E-01   0.13671E-02
 0.51165E+00   0.21171E-01   0.16161E-02
 0.51371E+00   0.21084E-01   0.18572E-02
 0.51569E+00   0.21000E-01   0.20908E-02
 0.51760E+00   0.20918E-01   0.23128E-02
 0.51943E+00   0.20839E-01   0.25253E-02
 0.52119E+00   0.20763E-01   0.27289E-02
 0.52289E+00   0.20689E-01   0.29229E-02
 0.52452E+00   0.20617E-01   0.31074E-02
 0.52609E+00   0.20547E-01   0.32836E-02
 0.46532E+00   0.20082E-01  -0.44318E-02
 0.46595E+00   0.21500E-01  -0.41727E-02
 0.46704E+00   0.22670E-01  -0.38786E-02
 0.46851E+00   0.23465E-01  -0.35636E-02
 0.47016E+00   0.24021E-01  -0.32309E-02
 0.47194E+00   0.24334E-01  -0.28989E-02
 0.47383E+00   0.24430E-01  -0.25931E-02
 0.47580E+00   0.24415E-01  -0.23192E-02
 0.47786E+00   0.24370E-01  -0.20636E-02
 0.48000E+00   0.24312E-01  -0.18174E-02
 0.48223E+00   0.24245E-01  -0.15730E-02
 0.48455E+00   0.24167E-01  -0.13208E-02
 0.48696E+00   0.24082E-01  -0.10642E-02
 0.48946E+00   0.23989E-01  -0.79584E-03
 0.49207E+00   0.23891E-01  -0.51186E-03
 0.49478E+00   0.23784E-01  -0.20422E-03
 0.49749E+00   0.23672E-01   0.12460E-03
 0.50009E+00   0.23561E-01   0.44237E-03
 0.50259E+00   0.23454E-01   0.73560E-03
 0.50500E+00   0.23349E-01   0.10118E-02
 0.50731E+00   0.23246E-01   0.12757E-02
 0.50954E+00   0.23147E-01   0.15287E-02
 0.51168E+00   0.23049E-01   0.17754E-02
 0.51374E+00   0.22954E-01   0.20168E-02
 0.51571E+00   0.22862E-01   0.22492E-02
 0.51762E+00   0.22773E-01   0.24706E-02
 0.51945E+00   0.22687E-01   0.26827E-02
 0.52120E+00   0.22604E-01   0.28868E-02
 0.52290E+00   0.22523E-01   0.30829E-02
 0.52452E+00   0.22444E-01   0.32697E-02
 0.52609E+00   0.22368E-01   0.34477E-02
 0.46532E+00   0.22314E-01  -0.41503E-02
 0.46598E+00   0.23715E-01  -0.38827E-02
 0.46710E+00   0.24838E-01  -0.35755E-02
 0.46859E+00   0.25585E-01  -0.32461E-02
 0.47025E+00   0.26097E-01  -0.29105E-02
 0.47204E+00   0.26378E-01  -0.25962E-02
 0.47393E+00   0.26456E-01  -0.23165E-02
 0.47590E+00   0.26433E-01  -0.20722E-02
 0.47796E+00   0.26380E-01  -0.18348E-02
 0.48010E+00   0.26315E-01  -0.15994E-02
 0.48232E+00   0.26241E-01  -0.13608E-02
 0.48463E+00   0.26156E-01  -0.11140E-02
 0.48704E+00   0.26062E-01  -0.85805E-03
 0.48954E+00   0.25962E-01  -0.59186E-03
 0.49214E+00   0.25854E-01  -0.30314E-03
 0.49484E+00   0.25738E-01   0.75549E-05
 0.49754E+00   0.25617E-01   0.33155E-03
 0.50014E+00   0.25498E-01   0.64077E-03
 0.50264E+00   0.25382E-01   0.92318E-03
 0.50504E+00   0.25269E-01   0.11916E-02
 0.50736E+00   0.25158E-01   0.14484E-02
 0.50958E+00   0.25050E-01   0.16976E-02
 0.51171E+00   0.24945E-01   0.19449E-02
 0.51376E+00   0.24842E-01   0.21856E-02
 0.51574E+00   0.24742E-01   0.24163E-02
 0.51764E+00   0.24645E-01   0.26416E-02
 0.51946E+00   0.24552E-01   0.28558E-02
 0.52122E+00   0.24462E-01   0.30600E-02
 0.52290E+00   0.24374E-01   0.32570E-02
 0.52452E+00   0.24289E-01   0.34440E-02
 0.52609E+00   0.24206E-01   0.36214E-02
 0.46532E+00   0.24568E-01  -0.38591E-02
 0.46601E+00   0.25948E-01  -0.35762E-02
 0.46717E+00   0.27019E-01  -0.32487E-02
 0.46868E+00   0.27719E-01  -0.29122E-02
 0.47035E+00   0.28191E-01  -0.25900E-02
 0.47214E+00   0.28443E-01  -0.23033E-02
 0.47403E+00   0.28503E-01  -0.20575E-02
 0.47601E+00   0.28470E-01  -0.18294E-02
 0.47806E+00   0.28410E-01  -0.16040E-02
 0.48019E+00   0.28338E-01  -0.13780E-02
 0.48241E+00   0.28256E-01  -0.11429E-02
 0.48472E+00   0.28163E-01  -0.89913E-03
 0.48712E+00   0.28062E-01  -0.64573E-03
 0.48962E+00   0.27953E-01  -0.37485E-03
 0.49221E+00   0.27836E-01  -0.82467E-04
 0.49491E+00   0.27710E-01   0.23142E-03
 0.49760E+00   0.27580E-01   0.54932E-03
 0.50020E+00   0.27453E-01   0.84285E-03
 0.50269E+00   0.27330E-01   0.11145E-02
 0.50509E+00   0.27208E-01   0.13742E-02
 0.50740E+00   0.27088E-01   0.16282E-02
 0.50961E+00   0.26972E-01   0.18801E-02
 0.51174E+00   0.26858E-01   0.21264E-02
 0.51379E+00   0.26747E-01   0.23654E-02
 0.51576E+00   0.26640E-01   0.25979E-02
 0.51766E+00   0.26536E-01   0.28237E-02
 0.51948E+00   0.26435E-01   0.30385E-02
 0.52123E+00   0.26338E-01   0.32438E-02
 0.52291E+00   0.26243E-01   0.34414E-02
 0.52453E+00   0.26151E-01   0.36296E-02
 0.52609E+00   0.26062E-01   0.38087E-02
 0.46532E+00   0.26842E-01  -0.35461E-02
 0.46604E+00   0.28198E-01  -0.32406E-02
 0.46724E+00   0.29215E-01  -0.29054E-02
 0.46877E+00   0.29872E-01  -0.25785E-02
 0.47045E+00   0.30305E-01  -0.22818E-02
 0.47225E+00   0.30528E-01  -0.20273E-02
 0.47414E+00   0.30570E-01  -0.18015E-02
 0.47611E+00   0.30528E-01  -0.15865E-02
 0.47816E+00   0.30460E-01  -0.13700E-02
 0.48029E+00   0.30380E-01  -0.11479E-02
 0.48250E+00   0.30290E-01  -0.91617E-03
 0.48481E+00   0.30189E-01  -0.67296E-03
 0.48720E+00   0.30079E-01  -0.41432E-03
 0.48969E+00   0.29961E-01  -0.14088E-03
 0.49228E+00   0.29835E-01   0.15080E-03
 0.49497E+00   0.29700E-01   0.46090E-03
 0.49766E+00   0.29562E-01   0.76965E-03
 0.50025E+00   0.29427E-01   0.10481E-02
 0.50274E+00   0.29295E-01   0.13094E-02
 0.50514E+00   0.29165E-01   0.15676E-02
 0.50744E+00   0.29036E-01   0.18223E-02
 0.50965E+00   0.28912E-01   0.20732E-02
 0.51178E+00   0.28789E-01   0.23205E-02
 0.51382E+00   0.28670E-01   0.25620E-02
 0.51578E+00   0.28555E-01   0.27953E-02
 0.51767E+00   0.28443E-01   0.30200E-02
 0.51949E+00   0.28335E-01   0.32365E-02
 0.52124E+00   0.28231E-01   0.34437E-02
 0.52292E+00   0.28130E-01   0.36405E-02
 0.52453E+00   0.28031E-01   0.38276E-02
 0.52609E+00   0.27936E-01   0.40064E-02
 0.46532E+00   0.29136E-01  -0.32057E-02
 0.46607E+00   0.30466E-01  -0.28889E-02
 0.46732E+00   0.31429E-01  -0.25584E-02
 0.46886E+00   0.32045E-01  -0.22575E-02
 0.47055E+00   0.32441E-01  -0.19956E-02
 0.47235E+00   0.32634E-01  -0.17605E-02
 0.47424E+00   0.32658E-01  -0.15508E-02
 0.47621E+00   0.32604E-01  -0.13407E-02
 0.47826E+00   0.32528E-01  -0.11259E-02
 0.48038E+00   0.32441E-01  -0.90763E-03
 0.48259E+00   0.32343E-01  -0.67681E-03
 0.48489E+00   0.32233E-01  -0.43112E-03
 0.48728E+00   0.32115E-01  -0.17083E-03
 0.48977E+00   0.31988E-01   0.10629E-03
