import time: self [us] | cumulative | imported package
import time:      1568 |      12237 |             pandas.core.internals
import time:      1134 |       1134 |             pandas.core.internals.construction
import time:      1190 |       1190 |               pandas.core.methods
import time:      1122 |       1122 |                 pandas.core.reshape
import time:      1453 |       2574 |               pandas.core.reshape.concat
import time:       916 |        916 |                   dataclasses
import time:       541 |        541 |                   gzip
import time:        83 |         83 |                   mmap
import time:        60 |         60 |                     pwd
import time:        48 |         48 |                     grp
import time:      1580 |       1687 |                   tarfile
import time:      1070 |       1070 |                   zipfile
import time:       739 |        739 |                   pandas.core.shared_docs
import time:      2852 |       7886 |                 pandas.io.common
import time:      1782 |       9667 |               pandas.io.formats.format
import time:      1503 |      14932 |             pandas.core.methods.describe
import time:      1313 |       1313 |                   pandas._libs.window
import time:      1540 |       2852 |                 pandas._libs.window.aggregations
import time:       797 |        797 |                   pandas._libs.window.indexers
import time:      1329 |       2125 |                 pandas.core.indexers.objects
import time:       794 |        794 |                 pandas.core.util.numba_
import time:      1657 |       1657 |                 pandas.core.window.common
import time:       907 |        907 |                 pandas.core.window.doc
import time:       869 |        869 |                 pandas.core.window.numba_
import time:       826 |        826 |                 pandas.core.window.online
import time:     16048 |      16048 |                 pandas.core.window.rolling
import time:      2599 |      28674 |               pandas.core.window.ewm
import time:      1949 |       1949 |               pandas.core.window.expanding
import time:      1341 |      31963 |             pandas.core.window
import time:      8716 |     108288 |           pandas.core.generic
import time:       970 |        970 |           pandas.core.methods.selectn
import time:       733 |        733 |             pandas.core.reshape.util
import time:       804 |        804 |             pandas.core.tools.numeric
import time:      1079 |       2615 |           pandas.core.reshape.melt
import time:       862 |        862 |             pandas._libs.reshape
import time:      1424 |       1424 |             pandas.core.indexes.accessors
import time:      1181 |       1181 |               pandas.arrays
import time:      1455 |       2635 |             pandas.core.tools.datetimes
import time:      1604 |       1604 |             pandas.io.formats.info
import time:      2131 |       2131 |               pandas.plotting._core
import time:       879 |        879 |               pandas.plotting._misc
import time:      1224 |       4232 |             pandas.plotting
import time:      4838 |      15593 |           pandas.core.series
import time:      9436 |     136900 |         pandas.core.frame
import time:      1868 |       1868 |         pandas.core.groupby.base
import time:      1322 |       1322 |           pandas._libs.groupby
import time:       810 |        810 |             pandas.core.groupby.categorical
import time:      1080 |       1890 |           pandas.core.groupby.grouper
import time:      1306 |       4517 |         pandas.core.groupby.ops
import time:       856 |        856 |           pandas.core.groupby.numba_
import time:      1015 |       1015 |           pandas.core.groupby.indexing
import time:      3130 |       5000 |         pandas.core.groupby.groupby
import time:      3409 |     156643 |       pandas.core.groupby.generic
import time:      1547 |     158189 |     pandas.core.groupby
import time:      1626 |     382181 |   pandas.core.api
import time:       866 |        866 |   pandas.tseries.api
import time:       786 |        786 |           pandas.core.computation.common
import time:       961 |       1747 |         pandas.core.computation.align
import time:       533 |        533 |             pprint
import time:       981 |       1514 |           pandas.core.computation.scope
import time:      1082 |       2595 |         pandas.core.computation.ops
import time:       904 |       5244 |       pandas.core.computation.engines
import time:       782 |        782 |         pandas.core.computation.parsing
import time:      2559 |       3340 |       pandas.core.computation.expr
import time:       877 |       9461 |     pandas.core.computation.eval
import time:       844 |      10304 |   pandas.core.computation.api
import time:       899 |        899 |     pandas.core.reshape.encoding
import time:        42 |         42 |         _uuid
import time:       739 |        780 |       uuid
import time:      1551 |       2331 |     pandas.core.reshape.merge
import time:      1388 |       1388 |     pandas.core.reshape.pivot
import time:      1019 |       1019 |     pandas.core.reshape.tile
import time:      1049 |       6685 |   pandas.core.reshape.api
import time:      1733 |       1733 |     pandas.api.extensions
import time:      1279 |       1279 |     pandas.api.indexers
import time:      1099 |       1099 |         pandas.core.interchange
import time:      1949 |       3048 |       pandas.core.interchange.dataframe_protocol
import time:       928 |        928 |         pandas.core.interchange.utils
import time:       909 |       1837 |       pandas.core.interchange.from_dataframe
import time:      1240 |       6124 |     pandas.api.interchange
import time:       748 |        748 |       pandas.core.dtypes.api
import time:      1233 |       1981 |     pandas.api.types
import time:      2219 |       2219 |       pandas.core.resample
import time:       685 |        685 |             pandas._libs.json
import time:       935 |        935 |             pandas.io.json._normalize
import time:       943 |        943 |             pandas.io.json._table_schema
import time:      1092 |       1092 |                   pandas._libs.parsers
import time:      1205 |       1205 |                     pandas.io.parsers.base_parser
import time:      1013 |       2217 |                   pandas.io.parsers.arrow_parser_wrapper
import time:       985 |        985 |                   pandas.io.parsers.c_parser_wrapper
import time:      1049 |       1049 |                   pandas.io.parsers.python_parser
import time:      3430 |       8771 |                 pandas.io.parsers.readers
import time:      1398 |      10169 |               pandas.io.parsers
import time:        59 |      10228 |             pandas.io.parsers.readers
import time:      2429 |      15218 |           pandas.io.json._json
import time:      1354 |      16572 |         pandas.io.json
import time:        62 |      16633 |       pandas.io.json._json
import time:      2185 |       2185 |       pandas.io.stata
import time:      1292 |      22328 |     pandas.api.typing
import time:      1519 |      34961 |   pandas.api
import time:       705 |        705 |           tempfile
import time:       974 |       1678 |         pandas._testing.contexts
import time:      1413 |       3091 |       pandas._testing._io
import time:      1045 |       1045 |       pandas._testing._warnings
import time:        91 |         91 |           cmath
import time:       933 |       1023 |         pandas._libs.testing
import time:      1313 |       2336 |       pandas._testing.asserters
import time:       851 |        851 |       pandas._testing.compat
import time:      1770 |       9091 |     pandas._testing
import time:       739 |       9830 |   pandas.testing
import time:       848 |        848 |   pandas.util._print_versions
import time:       714 |        714 |     pandas.io.clipboards
import time:       783 |        783 |         pandas.io.excel._util
import time:       926 |        926 |         pandas.io.excel._calamine
import time:       889 |        889 |         pandas.io.excel._odfreader
import time:      1023 |       1023 |         pandas.io.excel._openpyxl
import time:       818 |        818 |         pandas.io.excel._pyxlsb
import time:      1027 |       1027 |         pandas.io.excel._xlrd
import time:      3069 |       8532 |       pandas.io.excel._base
import time:      1159 |       1159 |       pandas.io.excel._odswriter
import time:      1260 |       1260 |       pandas.io.excel._xlsxwriter
import time:      1361 |      12310 |     pandas.io.excel
import time:       919 |        919 |     pandas.io.feather_format
import time:       708 |        708 |     pandas.io.gbq
import time:      1348 |       1348 |     pandas.io.html
import time:       718 |        718 |     pandas.io.orc
import time:      1142 |       1142 |     pandas.io.parquet
import time:       893 |        893 |       pandas.compat.pickle_compat
import time:       998 |       1891 |     pandas.io.pickle
